ARKK
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
GENI	GENIUS SPORTS LTD	1.06%	2,245,787	$19,538,346.90
TOST	TOAST INC-CLASS A	0.99%	582,722	$18,128,481.42
SPOT	SPOTIFY TECHNOLOGY SA	0.98%	35,992	$18,008,597.20
BABA	ALIBABA GROUP HOLDING-SP ADR	0.97%	105,051	$17,812,447.56
QCOM	QUALCOMM INC	0.95%	114,410	$17,343,411.90
TTD	TRADE DESK INC/THE -CLASS A	0.95%	577,017	$17,500,925.61
PINS	PINTEREST INC- CLASS A	0.93%	768,649	$17,010,202.37
U	UNITY SOFTWARE INC	0.93%	588,261	$17,118,395.10
NXDR	NEXTDOOR HOLDINGS INC	0.79%	7,366,343	$14,438,032.28
PD	PAGERDUTY INC	0.75%	1,301,937	$13,800,532.20
ETHQ/U	3IQ ETHER STAKING ETF	0.51%	906,908	$9,449,981.36
CRM	SALESFORCE INC	0.49%	42,102	$8,937,833.58
SOLQ/U	3IQ SOLANA STAKING ETF	0.24%	467,528	$4,371,386.80
SLMT	BRERA HOLDINGS PLC-CL B	0.14%	1,848,217	$2,550,539.46

--------------------------

ARKG
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
TEM	TEMPUS AI INC	8.27%	1,755,350	$105,005,037.00
CRSP	CRISPR THERAPEUTICS AG	8.01%	2,034,541	$101,645,668.36
TWST	TWIST BIOSCIENCE CORP	7.21%	2,229,125	$91,550,163.75
PSNL	PERSONALIS INC	6.15%	8,329,028	$78,042,992.36
GH	GUARDANT HEALTH INC	6.00%	667,442	$76,115,085.68
TXG	10X GENOMICS INC-CLASS A	5.23%	3,288,358	$66,424,831.60
BEAM	BEAM THERAPEUTICS INC	4.81%	2,209,480	$61,025,837.60
ILMN	ILLUMINA INC	4.53%	397,493	$57,560,961.33
NTRA	NATERA INC	4.31%	236,502	$54,665,072.28
RXRX	RECURSION PHARMACEUTICALS-A	4.01%	12,153,128	$50,921,606.32
CDNA	CAREDX INC	3.44%	2,126,762	$43,704,959.10
VCYT	VERACYTE INC	3.29%	1,097,405	$41,789,182.40
ADPT	ADAPTIVE BIOTECHNOLOGIES	3.13%	2,149,231	$39,760,773.50
NTLA	INTELLIA THERAPEUTICS INC	3.10%	2,995,166	$39,386,432.90
ABSI	ABSCI CORP	2.83%	12,019,802	$35,939,207.98
IONS	IONIS PHARMACEUTICALS INC	2.62%	402,154	$33,246,071.18
SDGR	SCHRODINGER INC	2.33%	2,118,509	$29,595,570.73
NRIX	NURIX THERAPEUTICS INC	2.07%	1,592,110	$26,301,657.20
PACB	PACIFIC BIOSCIENCES OF CALIF	1.98%	11,140,437	$25,177,387.62
BFLY	BUTTERFLY NETWORK INC	1.94%	6,229,192	$24,667,600.32
WGS	GENEDX HOLDINGS CORP	1.56%	205,719	$19,802,510.94
ARCT UQ	ARCTURUS THERAPEUTICS HOLDIN	1.54%	2,613,794	$19,525,041.18
PRME	PRIME MEDICINE INC	1.50%	4,985,424	$18,994,465.44
CERS	CERUS CORP	1.23%	6,691,243	$15,590,596.19
AMGN	AMGEN INC	1.21%	45,055	$15,403,403.40
CMPS	COMPASS PATHWAYS PLC	1.13%	2,145,054	$14,350,411.26
INCY	INCYTE CORP	1.07%	135,992	$13,608,719.44
MASS	908 DEVICES INC	0.98%	1,976,162	$12,469,582.22
ATAI UQ	ATAIBECKLEY INC	0.98%	3,299,659	$12,406,717.84
VRTX	VERTEX PHARMACEUTICALS INC	0.96%	25,948	$12,192,965.20
CAI	CARIS LIFE SCIENCES INC	0.74%	407,334	$9,433,855.44
VEEV	VEEVA SYSTEMS INC-CLASS A	0.66%	40,948	$8,350,116.16
QSI	QUANTUM-SI INC	0.62%	7,012,113	$7,923,687.69
LAB	STANDARD BIOTOOLS INC	0.34%	3,063,591	$4,289,027.40

--------------------------

ARKF
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
SHOP	SHOPIFY INC - CLASS A	9.65%	662,061	$106,571,959.17
COIN	COINBASE GLOBAL INC -CLASS A	5.67%	276,957	$62,631,055.98
HOOD	ROBINHOOD MARKETS INC - A	5.05%	492,638	$55,717,357.80
PLTR	PALANTIR TECHNOLOGIES INC-A	4.53%	281,162	$49,976,545.50
TOST	TOAST INC-CLASS A	4.34%	1,351,034	$47,975,217.34
XYZ	BLOCK INC	3.85%	652,416	$42,465,757.44
SOFI	SOFI TECHNOLOGIES INC	3.53%	1,488,338	$38,964,688.84
ROKU	ROKU INC	3.44%	350,640	$38,040,933.60
CRCL	CIRCLE INTERNET GROUP INC	3.36%	467,606	$37,081,155.80
RBLX	ROBLOX CORP -CLASS A	2.86%	389,598	$31,569,125.94
MELI	MERCADOLIBRE INC	2.85%	15,628	$31,478,855.28
ADYEN	ADYEN NV	2.58%	17,603	$28,444,654.02
META	META PLATFORMS INC-CLASS A	2.46%	41,109	$27,135,639.81
AMD	ADVANCED MICRO DEVICES	2.36%	121,685	$26,060,059.60
DKNG UW	DRAFTKINGS INC-CL A	2.36%	756,511	$26,069,369.06
AMZN	AMAZON.COM INC	2.31%	110,561	$25,519,690.02
BMNR	BITMINE IMMERSION TECHNOLOGI	2.31%	938,829	$25,489,207.35
PINS	PINTEREST INC- CLASS A	2.06%	876,967	$22,704,675.63
NU UN	NU HOLDINGS LTD/CAYMAN ISL-A	2.01%	1,327,232	$22,217,863.68
KLAR	KLARNA GROUP PLC	1.93%	736,657	$21,296,753.87
BLSH	BULLISH	1.75%	508,905	$19,272,232.35
SE	SEA LTD-ADR	1.71%	148,096	$18,892,606.72
ABNB	AIRBNB INC-CLASS A	1.68%	136,311	$18,500,128.92
FUTU	FUTU HOLDINGS LTD-ADR	1.58%	106,024	$17,410,201.04
DASH	DOORDASH INC - A	1.56%	76,196	$17,256,870.08
SPOT	SPOTIFY TECHNOLOGY SA	1.53%	29,020	$16,852,204.20
Z	ZILLOW GROUP INC - C	1.52%	246,266	$16,800,266.52
NVDA	NVIDIA CORP	1.51%	89,295	$16,653,517.50
DSY	DISCOVERY LTD	1.40%	1,125,052	$15,461,312.45
GLBE	GLOBAL-E ONLINE LTD	1.30%	364,781	$14,339,541.11
CRWD	CROWDSTRIKE HOLDINGS INC - A	1.23%	28,997	$13,592,633.72
4689	LY CORP	1.22%	5,074,096	$13,514,510.03
BABA	ALIBABA GROUP HOLDING-SP ADR	1.14%	85,622	$12,550,472.76
ETOR	ETORO GROUP LTD-A	1.06%	333,445	$11,713,922.85
KSPI	JSC KASPI.KZ ADR	0.95%	133,688	$10,445,043.44
INTU	INTUIT INC	0.87%	14,562	$9,646,160.04
PYPL	PAYPAL HOLDINGS INC	0.80%	151,471	$8,842,876.98
ICE	INTERCONTINENTAL EXCHANGE IN	0.79%	53,595	$8,680,246.20
ETHQ/U	3IQ ETHER STAKING ETF	0.68%	650,997	$7,538,545.26
SOLQ/U	3IQ SOLANA STAKING ETF	0.41%	452,253	$4,499,917.35
SLMT	BRERA HOLDINGS PLC-CL B	0.17%	1,018,952	$1,905,440.24

--------------------------

ARKX
as of 01/02/2026

Ticker	Name	Weight	Shares	Market Value
RKLB UQ	ROCKET LAB	8.90%	659,546	$46,009,928.96
LHX	L3HARRIS TECHNOLOGIES INC	8.34%	146,728	$43,074,938.96
KTOS	KRATOS DEFENSE & SECURITY	7.75%	527,748	$40,061,350.68
TER	TERADYNE INC	7.22%	192,651	$37,289,527.56
AVAV	AEROVIRONMENT INC	6.58%	140,659	$34,024,005.51
DE	DEERE & CO	5.28%	58,643	$27,302,421.51
ACHR	ARCHER AVIATION INC-A	5.08%	3,494,036	$26,275,150.72
PLTR	PALANTIR TECHNOLOGIES INC-A	4.34%	126,096	$22,413,564.00
AMD	ADVANCED MICRO DEVICES	4.16%	100,401	$21,501,878.16
TRMB	TRIMBLE INC	4.13%	272,441	$21,345,752.35
IRDM	IRIDIUM COMMUNICATIONS INC	3.62%	1,077,332	$18,724,030.16
AMZN	AMAZON.COM INC	3.38%	75,711	$17,475,613.02
GOOG	ALPHABET INC-CL C	2.78%	45,846	$14,386,474.80
NVDA	NVIDIA CORP	2.53%	70,102	$13,074,023.00
JOBY	JOBY AVIATION INC	2.44%	955,434	$12,611,728.80
HO	THALES SA	2.14%	40,981	$11,067,355.10
6301	KOMATSU LTD	2.02%	327,675	$10,459,493.11
SRTA	STRATA CRITICAL MEDICAL INC	1.78%	1,916,557	$9,218,639.17
LUNR	INTUITIVE MACHINES INC	1.76%	561,934	$9,120,188.82
BWXT	BWX TECHNOLOGIES INC	1.65%	49,355	$8,530,518.20
GRMN UN	GARMIN LTD	1.49%	37,855	$7,678,886.75
ESLT	ELBIT SYSTEMS LTD	1.48%	13,283	$7,673,721.93
TDY	TELEDYNE TECHNOLOGIES INC	1.19%	12,009	$6,133,356.57
SNPS	SYNOPSYS INC	1.18%	12,975	$6,094,617.00
HEI	HEICO CORP	1.16%	18,577	$6,011,331.43
